session,experiment,rolling_63d_correlation
2021-07-01,S00,0.17761702999682763
2021-07-02,S00,0.2071316111243237
2021-07-06,S00,0.21299566629577135
2021-07-07,S00,0.19132749143764796
2021-07-08,S00,0.19805664098388176
2021-07-09,S00,0.23142443443001537
2021-07-12,S00,0.22677596358886504
2021-07-13,S00,0.24083212541555193
2021-07-14,S00,0.26018785891362317
2021-07-15,S00,0.3068576643016938
2021-07-16,S00,0.305331515104658
2021-07-19,S00,0.257512922452625
2021-07-20,S00,0.31078351092562045
2021-07-21,S00,0.3114442925875856
2021-07-22,S00,0.31099302185636213
2021-07-23,S00,0.2955551787116588
2021-07-26,S00,0.29607832359793057
2021-07-27,S00,0.2980199946287024
2021-07-28,S00,0.29138538281989057
2021-07-29,S00,0.2722052253353656
2021-07-30,S00,0.3090017196826615
2021-08-02,S00,0.30744936988124166
2021-08-03,S00,0.31666905360294095
2021-08-04,S00,0.3275386292445542
2021-08-05,S00,0.3477337993308797
2021-08-06,S00,0.34181031122914857
2021-08-09,S00,0.35908777655191004
2021-08-10,S00,0.3836600774925158
2021-08-11,S00,0.3831175398411355
2021-08-12,S00,0.39050233805900386
2021-08-13,S00,0.36682419732140475
2021-08-16,S00,0.37118542515322495
2021-08-17,S00,0.38078354399945735
2021-08-18,S00,0.3511078780322386
2021-08-19,S00,0.34995123071305856
2021-08-20,S00,0.3366395773337103
2021-08-23,S00,0.3267624576282489
2021-08-24,S00,0.32750202869054257
2021-08-25,S00,0.3283672617504415
2021-08-26,S00,0.3248147777877833
2021-08-27,S00,0.3241653400906855
2021-08-30,S00,0.323275104283033
2021-08-31,S00,0.3270508103326165
2021-09-01,S00,0.31771533395676693
2021-09-02,S00,0.285612802200769
2021-09-03,S00,0.2831371404944624
2021-09-07,S00,0.29248596327253656
2021-09-08,S00,0.2846254064512353
2021-09-09,S00,0.27668243740858856
2021-09-10,S00,0.2660517934683137
2021-09-13,S00,0.2624815015415089
2021-09-14,S00,0.2527156504089753
2021-09-15,S00,0.2507123641173663
2021-09-16,S00,0.24915354533101344
2021-09-17,S00,0.17220281818281857
2021-09-20,S00,0.11589426190565205
