symbol,security_id,sector,maximum_internal_missing_or_zero_run,excluded
VTR,a760766c-8c49-4886-85af-990e47f9d78a,Real Estate,0,False
CL,a7dd2d26-59d5-4c85-8449-cd0cb975fd98,Consumer Staples,0,False
JCI,aa0bfa06-96bb-4fcc-bc56-0aa8a1c0be47,Industrials,0,False
GILD,aa222c8c-5f60-4b88-bc73-7aaadf424628,Health Care,0,False
DPZ,aa3236c8-f2d6-40f1-a20d-b4cc69bffae8,Consumer Discretionary,0,False
PAYX,aaaaa8a6-79b2-4090-95df-45276d1f4d74,Industrials,0,False
DLR,ab1c95a1-cb3b-4eb0-83bd-d4a0cd608b0b,Real Estate,0,False
DVN,ab42bac7-0551-47fd-8f5b-3313142cb075,Energy,0,False
TER,abb494ba-b24a-46bc-b050-2128e3303f60,Information Technology,0,False
SPG,abda5459-cb41-44a7-85bb-c94d32ea7d93,Real Estate,0,False
LHX,ac11bc30-2788-40f7-9c87-e24734d4dfd9,Industrials,0,False
NEE,ac20a75d-5bb4-4d10-96e8-f5e58e730139,Utilities,0,False
JBL,ac8f1019-e8aa-4a5d-9434-97cc688bf606,Information Technology,0,False
